"uid","url","proxy_used","oman_block_social?","oman_block_laws?","india_block?"
"236","http://www.metacafe.com/watch/7230576/joining_a_dancing_class_benefits/","http://OMAN_PROXY2:80",,,
"237","http://www.metacafe.com/watch/7230576/joining_a_dancing_class_benefits/",,,,
"238","http://www.myspace.com/video/satishsethswan/why-our-alsatian-dog-felt-restless-describes-satish-seth-swan/108188726","http://OMAN_PROXY1:8080",,,
"239","http://www.myspace.com/video/satishsethswan/why-our-alsatian-dog-felt-restless-describes-satish-seth-swan/108188726","http://OMAN_PROXY2:80",,,
"240","http://www.myspace.com/video/satishsethswan/why-our-alsatian-dog-felt-restless-describes-satish-seth-swan/108188726",,,,
"241","http://www.moneycontrol.com/stocks/cptmarket/searchpage/search.php?hl=3&companyname=Satish%20Seth&start=24","http://OMAN_PROXY1:8080",,,
"242","http://www.moneycontrol.com/stocks/cptmarket/searchpage/search.php?hl=3&companyname=Satish%20Seth&start=24","http://OMAN_PROXY2:80",,,
"243","http://www.moneycontrol.com/stocks/cptmarket/searchpage/search.php?hl=3&companyname=Satish%20Seth&start=24",,,,
"244","http://www.youtube.com/user/satishsatishseth?feature=mhee","http://OMAN_PROXY1:8080",,,
"245","http://www.youtube.com/user/satishsatishseth?feature=mhee","http://OMAN_PROXY2:80",,,
"246","http://www.youtube.com/user/satishsatishseth?feature=mhee",,,,
"247","http://www.tumblr.com/tagged/satish+seth","http://OMAN_PROXY1:8080",,,
"248","http://www.tumblr.com/tagged/satish+seth","http://OMAN_PROXY2:80",,,
"249","http://www.tumblr.com/tagged/satish+seth",,,,
"250","http://www.squidoo.com/satish-seth-at-his-adag-village","http://OMAN_PROXY1:8080",,,
"251","http://www.squidoo.com/satish-seth-at-his-adag-village","http://OMAN_PROXY2:80",,,
"252","http://www.squidoo.com/satish-seth-at-his-adag-village",,,,
"253","http://sites.google.com/site/satishsethreliance/journal-blog/satishsethrelianceonthisnicelittlerestaurantonhighway","http://OMAN_PROXY1:8080",,,
"254","http://sites.google.com/site/satishsethreliance/journal-blog/satishsethrelianceonthisnicelittlerestaurantonhighway","http://OMAN_PROXY2:80",,,
"255","http://sites.google.com/site/satishsethreliance/journal-blog/satishsethrelianceonthisnicelittlerestaurantonhighway",,,,
"256","http://www.blogger-index.com/search.php?s=satish+seth","http://OMAN_PROXY1:8080",,,
"257","http://www.blogger-index.com/search.php?s=satish+seth","http://OMAN_PROXY2:80",,,
"258","http://www.blogger-index.com/search.php?s=satish+seth",,,,
"259","http://satishsethadag.livejournal.com/","http://OMAN_PROXY1:8080",,,
"260","http://satishsethadag.livejournal.com/","http://OMAN_PROXY2:80",,,
"261","http://satishsethadag.livejournal.com/",,,,
"262","http://satishsethreliance.tumblr.com/tagged/Satish_Seth","http://OMAN_PROXY1:8080",,,
"263","http://satishsethreliance.tumblr.com/tagged/Satish_Seth","http://OMAN_PROXY2:80",,,
"264","http://satishsethreliance.tumblr.com/tagged/Satish_Seth",,,,
"265","http://satishsethreliance.blog.com/","http://OMAN_PROXY1:8080",,,
"266","http://satishsethreliance.blog.com/","http://OMAN_PROXY2:80",,,
"267","http://satishsethreliance.blog.com/",,,,
"268","http://parenting.feedables.com/story/8652112/Satish-Seth-Reliance-on-His-Dogs-for-Fun-and-Wisdom","http://OMAN_PROXY1:8080",,,
"269","http://parenting.feedables.com/story/8652112/Satish-Seth-Reliance-on-His-Dogs-for-Fun-and-Wisdom","http://OMAN_PROXY2:80",,,
"270","http://parenting.feedables.com/story/8652112/Satish-Seth-Reliance-on-His-Dogs-for-Fun-and-Wisdom",,,,
"271","http://sethadag.typepad.com/blog/","http://OMAN_PROXY1:8080",,,
"272","http://sethadag.typepad.com/blog/","http://OMAN_PROXY2:80",,,
"273","http://sethadag.typepad.com/blog/",,,,
"274","http://www.myspace.com/satishsethreliance","http://OMAN_PROXY1:8080",,,
"275","http://www.myspace.com/satishsethreliance","http://OMAN_PROXY2:80",,,
"276","http://www.myspace.com/satishsethreliance",,,,
"277","http://in.linkedin.com/in/satishsethswan","http://OMAN_PROXY1:8080",,,
"278","http://in.linkedin.com/in/satishsethswan","http://OMAN_PROXY2:80",,,
"279","http://in.linkedin.com/in/satishsethswan",,,,
"280","http://in.linkedin.com/pub/dir/?first=Satish&last=Seth","http://OMAN_PROXY1:8080",,,
"281","http://in.linkedin.com/pub/dir/?first=Satish&last=Seth","http://OMAN_PROXY2:80",,,
"282","http://in.linkedin.com/pub/dir/?first=Satish&last=Seth",,,,
"283","http://satishsethreliance.blogspot.com","http://OMAN_PROXY1:8080",,,
"284","http://satishsethreliance.blogspot.com","http://OMAN_PROXY2:80",,,
"285","http://satishsethreliance.blogspot.com",,,,
"286","http://sites.google.com/site/satishsethreliance/journal-blog/","http://OMAN_PROXY1:8080",,,
"287","http://sites.google.com/site/satishsethreliance/journal-blog/","http://OMAN_PROXY2:80",,,
"288","http://sites.google.com/site/satishsethreliance/journal-blog/",,,,
"289","http://digg.com/satishsethreliance","http://OMAN_PROXY1:8080",,,
"290","http://digg.com/satishsethreliance","http://OMAN_PROXY2:80",,,
"291","http://digg.com/satishsethreliance",,,,
"292","http://in.linkedin.com/in/satishsethreliance","http://OMAN_PROXY1:8080",,,
"293","http://in.linkedin.com/in/satishsethreliance","http://OMAN_PROXY2:80",,,
"294","http://in.linkedin.com/in/satishsethreliance",,,,
"295","http://satishsethadag.tumblr.com/","http://OMAN_PROXY1:8080",,,
"296","http://satishsethadag.tumblr.com/","http://OMAN_PROXY2:80",,,
"297","http://satishsethadag.tumblr.com/",,,,
"298","http://www.facebook.com/public/Satish-Seth-Adag","http://OMAN_PROXY1:8080",,,
"299","http://www.facebook.com/public/Satish-Seth-Adag","http://OMAN_PROXY2:80",,,
"300","http://www.facebook.com/public/Satish-Seth-Adag",,,,
"301","http://www.metacafe.com/channels/satishsethswan/","http://OMAN_PROXY1:8080",,,
"302","http://www.metacafe.com/channels/satishsethswan/","http://OMAN_PROXY2:80",,,
"303","http://www.metacafe.com/channels/satishsethswan/",,,,
"304","http://satishseth2gscamadagofficial.blogspot.com/","http://OMAN_PROXY1:8080",,,
"305","http://satishseth2gscamadagofficial.blogspot.com/","http://OMAN_PROXY2:80",,,
"306","http://satishseth2gscamadagofficial.blogspot.com/",,,,
"307","http://satishsethadag.blogspot.com/2011/08/satish-seth-worships-adag-friends-with.html","http://OMAN_PROXY1:8080",,,
"308","http://satishsethadag.blogspot.com/2011/08/satish-seth-worships-adag-friends-with.html","http://OMAN_PROXY2:80",,,
"309","http://satishsethadag.blogspot.com/2011/08/satish-seth-worships-adag-friends-with.html",,,,
"310","http://www.metacafe.com/watch/7210362/satish_seth_at_his_adag_amma_daddy_as_gods_home_with_pets/","http://OMAN_PROXY1:8080",,,
"311","http://www.metacafe.com/watch/7210362/satish_seth_at_his_adag_amma_daddy_as_gods_home_with_pets/","http://OMAN_PROXY2:80",,,
"312","http://www.metacafe.com/watch/7210362/satish_seth_at_his_adag_amma_daddy_as_gods_home_with_pets/",,,,
"313","http://www.metacafe.com/channels/Satish+Seth+Adag/","http://OMAN_PROXY1:8080",,,
"314","http://www.metacafe.com/channels/Satish+Seth+Adag/","http://OMAN_PROXY2:80",,,
"315","http://www.metacafe.com/channels/Satish+Seth+Adag/",,,,
"316","http://satishsethreliance.blogspot.com/2011/09/satish-seth-reliance-on-his-adag-amma.html","http://OMAN_PROXY1:8080",,,
"317","http://satishsethreliance.blogspot.com/2011/09/satish-seth-reliance-on-his-adag-amma.html","http://OMAN_PROXY2:80",,,
"318","http://satishsethreliance.blogspot.com/2011/09/satish-seth-reliance-on-his-adag-amma.html",,,,
"319","http://satishsethadag.blogspot.com/2011/09/sa-seth-wants-to-know-algorithm-of.html","http://OMAN_PROXY1:8080",,,
"320","http://satishsethadag.blogspot.com/2011/09/sa-seth-wants-to-know-algorithm-of.html","http://OMAN_PROXY2:80",,,
"321","http://satishsethadag.blogspot.com/2011/09/sa-seth-wants-to-know-algorithm-of.html",,,,
"322","http://satishsethadag.blogspot.com/2011/09/adagmant-tommy-not-listening-to-satish.html","http://OMAN_PROXY1:8080",,,
"323","http://satishsethadag.blogspot.com/2011/09/adagmant-tommy-not-listening-to-satish.html","http://OMAN_PROXY2:80",,,
"324","http://satishsethadag.blogspot.com/2011/09/adagmant-tommy-not-listening-to-satish.html",,,,
"325","http://in.linkedin.com/in/satishseth2gscamadagofficial","http://OMAN_PROXY1:8080",,,
"326","http://in.linkedin.com/in/satishseth2gscamadagofficial","http://OMAN_PROXY2:80",,,
"327","http://in.linkedin.com/in/satishseth2gscamadagofficial",,,,
"328","http://www.metacafe.com/channels/Satish+Seth/","http://OMAN_PROXY1:8080",,,
"329","http://www.metacafe.com/channels/Satish+Seth/","http://OMAN_PROXY2:80",,,
"330","http://www.metacafe.com/channels/Satish+Seth/",,,,
"331","http://www.bhandafodu.blogspot.com","http://OMAN_PROXY1:8080",,,
"332","http://www.bhandafodu.blogspot.com","http://OMAN_PROXY2:80",,,
"333","http://www.bhandafodu.blogspot.com",,,,
"334","http://www.bhandafodu.blogspot.com/","http://OMAN_PROXY1:8080",,,
"335","http://www.bhandafodu.blogspot.com/","http://OMAN_PROXY2:80",,,
"336","http://www.bhandafodu.blogspot.com/",,,,
"337","http://bhandafodu.blogspot.com/","http://OMAN_PROXY1:8080",,,
