Year,Month,Day,Status,Note
2013,1,14,presumed-unblocked,
2013,1,15,presumed-unblocked,
2013,1,16,unblocked,
2013,1,17,presumed-unblocked,
2013,1,18,presumed-unblocked,
2013,1,19,presumed-unblocked,
2013,1,20,presumed-unblocked,
2013,1,21,presumed-unblocked,
2013,1,22,unblocked,
2013,1,23,presumed-unblocked,
2013,1,24,unblocked,
2013,1,25,presumed-unblocked,
2013,1,26,presumed-unblocked,
2013,1,27,presumed-unblocked,
2013,1,28,presumed-unblocked,
2013,1,29,presumed-unblocked,
2013,1,30,unblocked,
2013,1,31,presumed-unblocked,
2013,2,1,presumed-unblocked,
2013,2,2,presumed-unblocked,
2013,2,3,presumed-unblocked,
2013,2,4,unblocked,
2013,2,5,presumed-unblocked,
2013,2,6,presumed-unblocked,
2013,2,7,presumed-unblocked,
2013,2,8,presumed-unblocked,
2013,2,9,unblocked,
2013,2,10,presumed-unblocked,
2013,2,11,presumed-unblocked,
2013,2,12,presumed-unblocked,
2013,2,13,unblocked,
2013,2,14,presumed-unblocked,
2013,2,15,presumed-unblocked,
2013,2,16,presumed-unblocked,
2013,2,17,presumed-unblocked,
2013,2,18,unblocked,
2013,2,19,presumed-unblocked,
2013,2,20,presumed-unblocked,
2013,2,21,presumed-unblocked,
2013,2,22,presumed-unblocked,
2013,2,23,presumed-unblocked,
2013,2,24,presumed-unblocked,
2013,2,25,presumed-unblocked,
2013,2,26,presumed-unblocked,
2013,2,27,presumed-unblocked,
2013,2,28,presumed-unblocked,
2013,3,1,presumed-unblocked,
2013,3,2,presumed-unblocked,
2013,3,3,unblocked,
2013,3,4,no-data,
2013,3,5,no-data,"The National People's Congress meets, the first session without Bo Xilai"
2013,3,6,no-data,
2013,3,7,no-data,
2013,3,8,no-data,
2013,3,9,no-data,
2013,3,10,no-data,
2013,3,11,no-data,
2013,3,12,no-data,
2013,3,13,no-data,
2013,3,14,no-data,
2013,3,15,no-data,
2013,3,16,no-data,
2013,3,17,blocked,
